************************************************************
BITZER Software v6.17.5 rev2661
(c) 2022, BITZER, Germany. Alle Angaben ohne Gewähr.
Dienstag, 26. Juli 2022 10:25:08
************************************************************

Darstellung von Verdichterleistungsdaten mit Polynomen nach EN12900 / ARI 540
------------------------------------------------------------
Vorgabewerte:

Verdichtertyp;;;4TES-12Y
Modus;;;Kälte- und Klimaanlage
Kältemittel;;;R134a
Bezugstemperatur;;;Taupunkt
Flüss.unterk. (im Verfl.);;;2.00 K
Sauggasüberhitzung;;;10.00 K
Betriebsart;;;Auto
Netzversorgung;;;400V-3-50Hz
Verdichterfrequenz;;;60.0 Hz
Nutzbare Überhitzung;;;10.00 K

------------------------------------------------------------
Polynom:
y = c1 + c2*to + c3*tc + c4*to^2 + c5*to*tc + c6*tc^2 + c7*to^3 + c8*tc*to^2 + c9*to*tc^2 + c10*tc^3

Koeffizienten:
;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10
Q [W];40805.85254029410000000000;1640.39586407886000000000;-405.77899071978500000000;24.13825289870660000000;-11.86044908559950000000;0.56167739893916300000;0.14248998061440300000;-0.13010678182811400000;-0.01311085990095160000;-0.00316540802452575000
P [W];1905.88872540106000000000;-127.19253408769400000000;155.99247993565200000000;-4.60637145272545000000;6.32710295459513000000;-0.79607707142983200000;-0.04647081107536000000;0.05893658058610700000;-0.01640393500672510000;-0.00068239871672824100
m [kg/h];709.17970558529800000000;25.34602365618450000000;-3.36725562727228000000;0.31355056007364400000;-0.01084039066302690000;0.02440447558199730000;0.00224190198504584000;0.00080354210809091900;-0.00037125252145135300;-0.00033210917451381800
I [A];5.72159102792622000000;-0.17671348905777300000;0.17975503422217500000;-0.00677048640225262000;0.00853342264119015000;-0.00057750746424171300;-0.00007999973771283530;0.00010025037419202100;-0.00001707844649413120;-0.00000316502496429020

------------------------------------------------------------
Gültigkeitsbereich der Polynome
Verdampfung:;;;-25°C;...;25°C
Verflüssigung:;;;10°C;...;85°C
Achtung: Zusätzlich Einsatzgrenze des Verdichters beachten!

------------------------------------------------------------

