************************************************************
BITZER Software v6.17.5 rev2661
(c) 2022, BITZER, Germany. Alle Angaben ohne Gewähr.
Dienstag, 26. Juli 2022 10:25:39
************************************************************

Darstellung von Verdichterleistungsdaten mit Polynomen nach EN12900 / ARI 540
------------------------------------------------------------
Vorgabewerte:

Verdichtertyp;;;4TES-12Y
Modus;;;Kälte- und Klimaanlage
Kältemittel;;;R134a
Bezugstemperatur;;;Taupunkt
Flüss.unterk. (im Verfl.);;;2.00 K
Sauggasüberhitzung;;;10.00 K
Betriebsart;;;Auto
Netzversorgung;;;400V-3-50Hz
Verdichterfrequenz;;;65.0 Hz
Nutzbare Überhitzung;;;10.00 K

------------------------------------------------------------
Polynom:
y = c1 + c2*to + c3*tc + c4*to^2 + c5*to*tc + c6*tc^2 + c7*to^3 + c8*tc*to^2 + c9*to*tc^2 + c10*tc^3

Koeffizienten:
;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10
Q [W];44065.13791605370000000000;1776.57398953208000000000;-435.58813996150000000000;26.03389220093810000000;-13.05838747802570000000;0.49610757919517400000;0.15205080664647900000;-0.13953113330135400000;-0.01115962470857720000;-0.00238211253014655000
P [W];2106.70989568749000000000;-140.23314717284900000000;170.31911702226800000000;-5.17656713333868000000;6.93034402590901000000;-0.89773206709144700000;-0.05003992550570220000;0.06794061381209440000;-0.01741245011448140000;-0.00058969057641204200
m [kg/h];764.36264849830400000000;27.52037224375750000000;-3.53492574553968000000;0.34413704742077900000;-0.01443354584455470000;0.02428484493146020000;0.00230189113835123000;0.00071979307074367200;-0.00039179171844688200;-0.00034410571634908900
I [A];5.51164910379126000000;-0.20333136532853500000;0.21055032894100800000;-0.00790913593924714000;0.00978076594003400000;-0.00079288508581776500;-0.00008778347407079900;0.00011780503520129100;-0.00001952320384919670;-0.00000292439924318377

------------------------------------------------------------
Gültigkeitsbereich der Polynome
Verdampfung:;;;-25°C;...;25°C
Verflüssigung:;;;10°C;...;85°C
Achtung: Zusätzlich Einsatzgrenze des Verdichters beachten!

------------------------------------------------------------

